Strategy,Clients,Malicious %,Rounds,Final Acc,Best Acc,Final Loss
fedavg,50,0,100,0.6693,0.6693,0.9441
krum,50,0,100,0.6331,0.6347,1.0282
fedmedian,50,0,100,0.5290,0.5290,1.2973
bulyan,50,0,100,0.6212,0.6212,1.0678
vae,50,0,100,0.6417,0.6417,1.0180
