Strategy,Clients,Malicious %,Rounds,Final Acc,Best Acc,Final Loss
bulyan,7,0,200,0.7524,0.7581,1.4147
bulyan,10,0,200,0.7534,0.7642,1.3098
bulyan,20,0,200,0.7464,0.7477,1.0243
bulyan,50,0,200,0.7388,0.7399,0.7574
bulyan,100,0,200,0.6140,0.6140,1.0858
