Strategy,Clients,Malicious %,Rounds,Final Acc,Best Acc,Final Loss
fedmedian,7,0,200,0.7534,0.7582,1.5250
fedmedian,10,0,200,0.7474,0.7509,1.3061
fedmedian,20,0,200,0.7381,0.7456,0.8642
fedmedian,50,0,200,0.6690,0.6690,0.9406
fedmedian,100,0,200,0.4912,0.4916,1.3968
