round,loss,accuracy
0,2.3035220338132816,0.1
1,2.240786090826455,0.1785
2,1.8869569705317195,0.2307
3,1.6495087104864394,0.3883
4,1.505401847461542,0.435
5,1.397468629736489,0.4663
6,1.3307910791982096,0.4944
7,1.2670857222697225,0.5261
8,1.216943220018198,0.547
9,1.1595641624051543,0.5699
10,1.111603831140378,0.5983
11,1.078924417876588,0.6093
12,1.0374909785989754,0.6331
13,0.995005297965516,0.6479
14,0.9907010626107359,0.6546
15,0.9330168641603793,0.6701
16,0.91908255733621,0.68
17,0.8863141356756131,0.6891
18,0.8802076082069653,0.6969
19,0.8760800489221519,0.6978
20,0.8446171162798762,0.7106
21,0.8330175435771576,0.7145
22,0.8224065198113744,0.7171
23,0.8102900502971186,0.7206
24,0.8138623587049234,0.7218
25,0.7980315729071157,0.7283
26,0.794663066014695,0.7312
27,0.7815321900497991,0.7371
28,0.7971215318567075,0.728
29,0.7790257440397914,0.7376
30,0.7901647499384591,0.7328
31,0.7836729948893904,0.739
32,0.7910958989835776,0.7373
33,0.7662903387039995,0.7424
34,0.7772540800487653,0.744
35,0.7814292548277888,0.7414
36,0.7915046055572101,0.7436
37,0.7834174667303555,0.7421
38,0.7870632411001589,0.7452
39,0.8066233637424323,0.7442
40,0.8211530543173464,0.7426
41,0.8000185552020423,0.7478
42,0.7925321361698663,0.7496
43,0.8054081578129015,0.7501
44,0.8081699288405549,0.7506
45,0.8322112394597965,0.7472
46,0.8348466243130711,0.7439
47,0.830549808451162,0.7506
48,0.8251914671434762,0.7507
49,0.8413478425516489,0.7501
50,0.8455246528402304,0.7489
51,0.8485061942864531,0.753
52,0.864179797732411,0.7482
53,0.85689593780155,0.7519
54,0.9031518956723685,0.75
55,0.8659286445702988,0.7554
56,0.8818726907142054,0.7464
57,0.89394265360916,0.745
58,0.863054563538335,0.7557
59,0.8883903029437263,0.7522
60,0.9422109826399495,0.7471
61,0.902913404777408,0.7516
62,0.9178800669531472,0.752
63,0.9164076694570029,0.7487
64,0.9396254223661301,0.7519
65,0.9374114791996563,0.7598
66,0.9366891284148914,0.7504
67,0.9327402201989969,0.7557
68,0.9433924018765409,0.7559
69,0.9610587971659895,0.7548
70,0.9717644072664432,0.7602
71,0.97056669363389,0.7529
72,0.9745107678273996,0.7542
73,1.0287034234014183,0.7517
74,0.9988979756260832,0.7547
75,1.0053742240888242,0.7561
76,1.0076021568748517,0.7515
77,1.0036404757453992,0.7544
78,1.0548232526253587,0.7549
79,1.0255126036203708,0.7503
80,1.0827834694244611,0.751
81,1.0614204899000284,0.7527
82,1.0725014982893826,0.7557
83,1.0511195010270555,0.7556
84,1.0259021519662472,0.7548
85,1.0644927827980573,0.7579
86,1.093671180760137,0.7543
87,1.0674018895092863,0.7553
88,1.0810091351263058,0.7558
89,1.111472577285081,0.7506
90,1.1183105584817192,0.7533
91,1.1408121275920837,0.7514
