round,loss,accuracy
0,2.3037342560557894,0.1
1,2.3033289574205686,0.1
2,2.296440425391395,0.1172
3,2.2246419598881046,0.1524
4,2.1079966187857972,0.1701
5,2.0461197977248853,0.2053
6,1.9995796840411786,0.2353
7,1.9431812744171093,0.2355
8,1.8793744873315001,0.2895
9,1.847383800786905,0.2783
10,1.8032534529987616,0.3016
11,1.7692674128011392,0.3173
12,1.7435841461340078,0.3102
13,1.708117784783482,0.3254
14,1.6783471339807723,0.324
15,1.6436518019380661,0.3544
16,1.6121099113275448,0.3721
17,1.5906060888363531,0.3756
18,1.55386856912424,0.3952
19,1.5306031962934012,0.4078
20,1.5110354838660731,0.4169
21,1.4863863524537497,0.4308
22,1.4612753894001531,0.4378
23,1.446357614696978,0.4507
24,1.4367817853586362,0.4559
25,1.4059390557078888,0.4687
26,1.3810367732764053,0.4744
27,1.3607628892024104,0.4908
28,1.3549825225394374,0.4917
29,1.3367048877115828,0.4961
30,1.3295297508422559,0.5022
31,1.3017583744594465,0.5182
32,1.2962032663174712,0.5208
33,1.2671544565179478,0.5331
34,1.2553142370126498,0.5319
35,1.2530640853098787,0.5367
36,1.2294716831213368,0.5448
37,1.2161330797801764,0.5525
38,1.2093822262919367,0.5527
39,1.1961365166944438,0.5591
40,1.194765394868942,0.5585
41,1.1820083723281518,0.5673
42,1.1520108075949331,0.5791
43,1.1533649375263495,0.5799
44,1.1348277694120195,0.5854
45,1.1279857349091065,0.5898
46,1.114767094199269,0.5962
47,1.1028510752958232,0.6031
48,1.08824908828583,0.6069
49,1.07971085869847,0.6107
50,1.0833056485310149,0.6063
51,1.0636609602279175,0.6151
52,1.050083900602481,0.6261
53,1.0457864329456903,0.6232
54,1.0315622515952625,0.631
55,1.025642501469999,0.634
56,1.017379094046145,0.6365
57,1.0114610981636536,0.6343
58,0.9943532602855573,0.6463
59,1.000896813199162,0.6388
60,0.9810034377506366,0.6507
61,0.9847201783055315,0.6525
62,0.9717882898288032,0.6549
63,0.9616637626014197,0.656
64,0.9453818468620983,0.6671
65,0.9569591653232757,0.6565
66,0.9525384453538889,0.664
67,0.9304369423336114,0.671
68,0.9312999964522096,0.6683
69,0.9231148996292212,0.6741
70,0.9228216489663901,0.6732
71,0.9094341629610275,0.6791
72,0.8963632378905726,0.6843
73,0.8959188239452557,0.6875
74,0.9014663958130553,0.6804
75,0.8872262641263846,0.6896
76,0.8819807757394382,0.6908
77,0.8760958362501651,0.6935
78,0.8735192666609828,0.6949
79,0.8731431358348066,0.6957
80,0.8570159056697029,0.7009
81,0.8596606303137332,0.7012
82,0.8617297373831082,0.6991
83,0.8579299431829788,0.702
84,0.84442612024161,0.7055
85,0.8455294349703926,0.7087
86,0.8525387920891515,0.703
87,0.8371710071738917,0.7107
88,0.8373859775142548,0.711
89,0.8352187230183293,0.7108
90,0.8263923116385365,0.7165
91,0.8316060802616632,0.7122
92,0.8231560383170557,0.7203
93,0.8206525065076237,0.7178
94,0.8200479660171289,0.7193
95,0.8211518425149278,0.7169
96,0.813423282707842,0.7232
97,0.8148110707918295,0.7206
98,0.8198002310225758,0.7209
99,0.818348419361602,0.7241
100,0.8117247775149422,0.7261
