round,loss,accuracy
0,2.3038095353891292,0.1
1,2.230301703888768,0.1763
2,1.993143350552446,0.2297
3,1.752011849857367,0.3444
4,1.5947277587823594,0.4129
5,1.4351261347627486,0.4684
6,1.3624799533393055,0.4902
7,1.2740761230167108,0.5292
8,1.243922755931513,0.54
9,1.1840077000685012,0.5716
10,1.1241887034699558,0.5898
11,1.09435189665316,0.6077
12,1.0563234742076253,0.6202
13,1.0311427552479144,0.6332
14,1.019078199094096,0.638
15,0.9660399495222317,0.6586
16,0.9387197106029279,0.6715
17,0.8946361290380216,0.6923
18,0.892721383049846,0.687
19,0.8929960158305427,0.6912
20,0.8502682409347436,0.7068
21,0.8411554625620857,0.7116
22,0.8323977269684545,0.7108
23,0.8163540363311768,0.7199
24,0.8040889455868413,0.7259
25,0.8046548292278862,0.7256
26,0.7964834539463725,0.7251
27,0.7955742027051151,0.7288
28,0.7897776087252096,0.7356
29,0.7807867467974703,0.7349
30,0.7757715781371053,0.7415
31,0.7806063617189852,0.7387
32,0.7632779350010351,0.7451
33,0.7763691062268357,0.7428
34,0.7655191067308663,0.744
35,0.7709704159071651,0.7458
36,0.7655497720828072,0.7454
37,0.764857887888488,0.7489
38,0.7713494539832155,0.746
39,0.770554924020752,0.7457
40,0.7659753633383364,0.7529
41,0.7894310583702673,0.7447
42,0.7778965828898615,0.7498
43,0.7912203202994106,0.7441
44,0.7916849540731016,0.7502
45,0.7877352342914088,0.7476
46,0.8155588134885216,0.7409
47,0.8007868549789483,0.7524
48,0.794379330290773,0.752
49,0.8291305692051165,0.749
50,0.8303091898798561,0.7497
51,0.8116978396908544,0.7479
52,0.8289616946785595,0.7488
53,0.8371971444771312,0.7507
54,0.840305353791569,0.749
55,0.8415527705567333,0.746
56,0.8588706432535245,0.7481
57,0.8426114698044789,0.7466
58,0.8565151902338186,0.7499
59,0.8782241991438424,0.7454
60,0.8886457475039143,0.7478
61,0.9045738046542524,0.7442
62,0.8875461335475452,0.7469
63,0.8781683319768967,0.7484
64,0.8852416463077258,0.7481
65,0.9264319699507552,0.7464
66,0.9270579475469102,0.7472
67,0.9260637007963163,0.7437
68,0.9417472870205157,0.7405
69,0.9267324055916966,0.7396
70,0.9680021802743022,0.7417
71,0.9640954494857179,0.7468
72,0.9423128332192905,0.7476
73,0.9603596526784257,0.7443
74,0.9783105728344414,0.7439
75,0.9886992267145517,0.7455
76,0.9947781357616662,0.7467
77,0.967547597690893,0.7436
78,1.0119738044639746,0.7407
79,1.0101392895649797,0.7422
80,1.0192984611557696,0.7424
81,1.0233100920725173,0.7441
82,1.0499470054912872,0.741
83,1.0298580822472374,0.7433
84,1.0546212309656051,0.748
85,1.0769646569562796,0.7402
86,1.0287466320557335,0.7433
87,1.0645959306353578,0.7478
88,1.067750258567615,0.7502
89,1.0532192615464853,0.7468
90,1.0698577971599352,0.7456
91,1.070217861439854,0.746
92,1.1166071821325503,0.747
93,1.0960782283601669,0.7485
94,1.1037848727962078,0.7459
95,1.1407411868770283,0.7447
96,1.1253919789014153,0.7479
97,1.1510555221440313,0.7474
98,1.1516906431498237,0.7465
99,1.1623437380352721,0.7431
100,1.1419929272164933,0.7403
