round,loss,accuracy
0,2.3035583153319434,0.1
1,2.3024882881786115,0.1
2,2.3001325176165888,0.1
3,2.2958048136470417,0.1
4,2.286604440250336,0.1016
5,2.2627170177313465,0.1295
6,2.197259071155097,0.2333
7,2.1138418372065875,0.2211
8,2.0651952610990874,0.2441
9,2.0321749349752554,0.2555
10,2.000024303079794,0.2733
11,1.9630528631301734,0.2884
12,1.9236632516970649,0.2906
13,1.885551781700061,0.3014
14,1.8484417729484388,0.3157
15,1.8162724023428969,0.3181
16,1.7847309120166035,0.3398
17,1.764620059214461,0.3481
18,1.7415894148067925,0.3486
19,1.7183925880791662,0.3652
20,1.7059756936356663,0.3728
21,1.6853140101265223,0.3778
22,1.6688968541142277,0.3921
23,1.647945642090453,0.3895
24,1.6255640084751117,0.3982
25,1.6134841971504041,0.4089
26,1.5947934636673606,0.4139
27,1.5723067784842593,0.4178
28,1.5616040001281153,0.4303
29,1.5433923112698638,0.435
30,1.5303939874179828,0.4385
31,1.516092503794466,0.4462
32,1.5015444237584123,0.4551
33,1.4875600749311355,0.459
34,1.4732894851757696,0.4611
35,1.459331102264575,0.47
36,1.4485494549662923,0.4723
37,1.4380566536808927,0.4794
38,1.4232326658389058,0.4848
39,1.4145914868424876,0.4894
40,1.3988050195736625,0.4924
41,1.39351098682172,0.496
42,1.3852451365595808,0.4989
43,1.3696210380560292,0.5028
44,1.363781998332697,0.5079
45,1.347366469736678,0.5088
46,1.340000472891445,0.5153
47,1.3312900226337079,0.5195
48,1.3216396912980004,0.5243
49,1.3121242544140679,0.5254
50,1.3100312453108474,0.5297
51,1.2988054188676537,0.532
52,1.2823964842973046,0.5379
53,1.2814583567003854,0.5402
54,1.2708290819161998,0.5449
55,1.259429118694208,0.5516
56,1.2537130302133652,0.5503
57,1.2433821823650275,0.5568
58,1.234750909736743,0.5566
59,1.2289257032421832,0.5604
60,1.225456452217346,0.5629
61,1.2146486314340903,0.564
62,1.206638314853461,0.5683
63,1.2024734300165512,0.5672
64,1.1901437577348166,0.5723
65,1.18125700341246,0.5743
66,1.181880134553574,0.5758
67,1.1667776936159346,0.5806
68,1.1566741378924337,0.5819
69,1.1560479570120668,0.5851
70,1.1482195968445117,0.5889
71,1.139383324609397,0.5901
72,1.1328295193160305,0.5941
73,1.127775299663361,0.5959
74,1.1183956362568914,0.5985
75,1.1119339054765793,0.6016
76,1.102748189109583,0.603
77,1.0946058474790554,0.6092
78,1.09103631306761,0.609
79,1.0857313574312595,0.6118
80,1.0816607928504578,0.6161
81,1.072022391965214,0.6194
82,1.0721765486196206,0.6199
83,1.060407397465203,0.624
84,1.0509991801965732,0.6244
