Strategy,Clients,Malicious %,Rounds,Final Acc,Best Acc,Final Loss
fedavg,10,0,200,0.7679,0.7793,1.4189
robust,10,0,200,0.7735,0.7785,1.4297
krum,10,0,200,0.6392,0.6861,3.3597
fedmedian,10,0,200,0.7660,0.7760,1.4108
bulyan,10,0,200,0.7700,0.7775,1.3846
vae,10,0,200,0.7753,0.7824,1.2884
fedavg,10,10,200,0.5701,0.5875,1.6260
robust,10,10,200,0.7576,0.7705,0.7752
krum,10,10,200,0.6440,0.6925,3.2714
fedmedian,10,10,200,0.7785,0.7835,0.7140
bulyan,10,10,200,0.7595,0.7686,1.4666
vae,10,10,200,0.7012,0.7012,1.0460
