Strategy,Clients,Malicious %,Rounds,Final Acc,Best Acc,Final Loss
fedavg,7,10,200,0.7726,0.7809,1.4814
robust,7,10,200,0.7739,0.7833,1.5254
krum,7,10,200,0.7766,0.7806,1.4387
fedmedian,7,10,200,0.7679,0.7791,1.5582
bulyan,7,10,200,0.7673,0.7758,1.5642
vae,7,10,200,0.7636,0.7764,1.5545
