Strategy,Clients,Malicious %,Rounds,Final Acc,Best Acc,Final Loss
fedavg,20,0,100,0.7484,0.7484,0.7592
krum,20,0,100,0.7544,0.7544,0.7327
fedmedian,20,0,100,0.7261,0.7261,0.8117
bulyan,20,0,100,0.7542,0.7564,0.7398
vae,20,0,100,0.7379,0.7379,0.8407
