Strategy,Clients,Malicious %,Rounds,Final Acc,Best Acc,Final Loss
fedavg,7,20,200,0.5101,0.5443,1.9057
robust,7,20,200,0.5001,0.5479,1.9137
krum,7,20,200,0.7592,0.7721,1.6834
fedmedian,7,20,200,0.7735,0.7803,0.7117
bulyan,7,20,200,0.7538,0.7703,1.6342
vae,7,20,200,0.6276,0.6420,1.5591
